DATA,1,25.2,4.75,0.87
DATA,2,24.4,5.21,1.03
DATA,3,24.4,5.23,1.12
DATA,4,25.1,5.03,1.18
DATA,5,25.7,4.79,1.02
DATA,6,24.0,4.86,0.97
DATA,7,25.3,5.12,1.09
DATA,8,25.5,5.29,1.02
DATA,9,24.0,5.06,1.17
DATA,10,25.4,5.27,1.06
DATA,11,24.2,5.29,0.83
DATA,12,24.4,5.12,1.02
DATA,13,25.1,4.77,0.80
DATA,14,28.0,5.10,1.02
DATA,15,28.7,5.26,0.97
DATA,16,28.5,4.83,0.95
DATA,17,29.3,4.70,0.91
DATA,18,28.0,4.78,0.81
DATA,19,28.3,5.23,0.86
DATA,20,28.4,4.77,1.09
DATA,21,29.6,4.77,1.05
DATA,22,28.3,5.27,0.95
DATA,23,29.0,5.13,1.20
DATA,24,28.5,5.14,1.00
DATA,25,29.3,4.82,0.99
DATA,26,28.8,5.13,1.06
DATA,27,28.2,4.77,1.09
DATA,28,29.1,5.23,1.08
DATA,29,28.0,4.71,0.98
DATA,30,29.8,5.15,1.73
DATA,31,29.5,4.94,1.56
DATA,32,30.0,5.29,1.40
DATA,33,29.3,4.88,1.41
DATA,34,24.7,5.01,1.56
DATA,35,25.4,4.98,1.11
DATA,36,25.7,4.80,1.14
DATA,37,25.2,5.08,0.95
DATA,38,24.4,5.01,1.12
DATA,39,24.7,5.16,1.13
DATA,40,25.8,6.00,1.16
DATA,41,25.0,6.36,0.84
DATA,42,24.5,6.08,1.00
DATA,43,24.7,6.01,1.04
DATA,44,26.0,6.17,1.00
DATA,45,26.0,5.99,1.00
DATA,46,24.8,6.16,1.16
DATA,47,25.3,5.97,1.19
DATA,48,25.4,6.50,1.03
DATA,49,24.6,5.95,0.81
DATA,50,24.8,5.15,1.08
DATA,51,26.0,4.95,0.84
DATA,52,24.5,5.11,1.19
DATA,53,25.7,4.93,0.85
DATA,54,25.6,4.85,1.01
DATA,55,24.3,5.03,1.08
DATA,56,25.7,5.05,1.15
DATA,57,24.0,4.72,1.09
DATA,58,24.7,4.92,1.18
DATA,59,25.4,4.95,1.01
DATA,60,24.2,4.71,0.84
DATA,61,25.0,5.15,0.81
DATA,62,25.0,5.26,1.02
DATA,63,24.2,5.17,0.96
DATA,64,24.7,5.16,1.09
DATA,65,25.8,5.08,0.98
DATA,66,25.7,4.90,1.08
DATA,67,25.6,4.79,0.94
DATA,68,24.3,4.74,0.99
DATA,69,24.5,4.89,0.95
DATA,70,24.0,4.95,0.84
DATA,71,24.9,4.90,0.84
DATA,72,25.9,4.76,0.86
DATA,73,25.3,5.25,0.83
DATA,74,24.9,5.05,1.19
DATA,75,25.6,4.91,1.19
DATA,76,24.4,5.18,1.20
DATA,77,25.9,5.22,1.16
DATA,78,24.7,4.93,1.18
DATA,79,24.9,4.92,0.93
DATA,80,25.4,5.21,0.85
DATA,81,24.5,4.87,1.08
DATA,82,25.8,4.99,1.13
